"a2","lang","lang2"
"ABKHAZIIA - AP'SNY","ab",
"ACUERDO DE CAMPOS DE HIELO","es",
"AFG","fa",
"AGO","en",
"ALB","sq",
"ARE","ar",
"ARG","es",
"ARM","hy",
"AUS","en",
"AUT","de",
"AZE","az",
"BDI","rn","fr"
"BEL","nl",
"BEN","fr",
"BFA","fr",
"BGD","bn","en"
"BGR","bg",
"BIH","bs",
"BLR","ru","be"
"BLZ","es",
"BOL","es",
"BHR","ar",
"BRA","pt",
"BRN","ms","en"
"BTN","dz",
"BWA","tn","en"
"CAF","sg","fr"
"CAN","fr","en"
"CHE","de",
"CHL","es",
"CHN","zh",
"CIV","fr",
"CMR","fr","en"
"COD","fr",
"COG","fr","ln"
"COL","es",
"CRI","es",
"CUB","es",
"CYP","el","tr"
"CZE","cz",
"DEU","de",
"DJI","ar","fr"
"DNK","da",
"DOM","es",
"DZA","ar",
"ECU","es",
"EGY","ar",
"ERI","ti","ar"
"ESH","ar","es"
"ESP","es",
"EST","et",
"ETH","en",
"FIN","fi",
"FJI","fj","en"
"FLK","en",
"FRA","fr",
"GAB","fr",
"GBR","en",
"GEO","ka",
"GHA","en","tw"
"GIN","fr",
"GNB","pt",
"GNQ","es","fr"
"GRC","el",
"GRL","kl",
"GTM","es",
"GUY","en",
"HND","es",
"HRV","hr",
"HTI","fr","ht"
"HUN","hu",
"IDN","id",
"IND","hi",
"IRL","en",
"IRN","fa",
"IRQ","ar",
"ISL","is",
"ISR","he",
"ITA","it",
"JAM","en",
"JOR","ar",
"JPN","ja",
"KAZ","kz",
"KEN","en","sw"
"KGZ","ky","ru"
"KHM","km",
"KHUSSAR IRYSTON","os","ru"
"KOR","ko",
"KWT","ar",
"LAO","lo","fr"
"LBN","ar",
"LBR","en",
"LBY","ar",
"LKA","en","si"
"LSO","st","en"
"LTU","lt",
"LUX","de","lb"
"LVA","lv",
"MAR","ar","fr"
"MDA","ro",
"MDG","mg","fr"
"MEX","es",
"MKD","mk",
"MLI","fr",
"MMR","my",
"MNE","mis","sr"
"MNG","mn",
"MOZ","pt",
"MRT","ar",
"MWI","en","ny"
"MYS","my",
"NAM","en","af"
"NER","fr","ha"
"NGA","en",
"NIC","es",
"NLD","nl",
"NOR","no",
"NPL","ne",
"NZL","en",
"OMN","ar",
"PAK","ur","en"
"PAN","es",
"PER","es",
"PHL","tl",
"PNG","ho","en"
"POL","pl",
"PRK","ko",
"PRT","pt",
"PRY","es",
"PSE","ar",
"QAT","ar",
"ROU","ro",
"RUS","ru",
"RWA","rw","fr"
"SAU","ar",
"SDN","ar","en"
"SEN","fr","wo"
"SLE","en",
"SLV","es",
"SOM","ar",
"SRB","sr",
"SSD","en",
"SUR","nl",
"SVK","sk",
"SVN","sl",
"SWE","sv",
"SWZ","ss","en"
"SYR","ar",
"TCD","ar","fr"
"TGO","fr",
"THA","th",
"TJK","fa","ru"
"TKM","tk","ru"
"TLS","pt",
"TTO","en",
"TUN","ar",
"TUR","tr",
"TWN","zh",
"TZA","sw","en"
"UGA","sw","en"
"UKR","uk",
"UNITED STATES OF AMERICA","en",
"URY","es",
"USA","en",
"UZB","uz",
"VEN","es",
"VNM","vi",
"XXK","sq","sr"
"YEM","ar",
"ZAF","af",
"ZMB","en",
"ZWE","sn","en"
"ATA","en",
"SOUTH AFRICA","af","en"
