osm_id,name
n100013911,"{""cs"": ""Wadi Halfa"", ""de"": ""Wadi Halfa"", ""en"": ""Wadi Halfa"", ""es"": ""Wadi Halfa"", ""fr"": ""Wadi Halfa"", ""ja"": ""ワディ・ハルファ"", ""ko"": ""와디할파"", ""pl"": ""Wadi Halfa"", ""ru"": ""Вади-Хальфа"", ""th"": ""วาดิ ฮัลฟา"", ""tr"": ""Wadi Halfa"", ""vi"": ""Wadi Halfa"", ""es_AR"": ""Wadi Halfa"", ""zh_TW"": ""瓦迪哈勒法""}"
n100035698,"{""cs"": ""Galați"", ""de"": ""Galați"", ""en"": ""Galați"", ""es"": ""Galați"", ""fr"": ""Galați"", ""pl"": ""Gałacz"", ""ru"": ""Галац"", ""tr"": ""Kalas"", ""es_AR"": ""Galați""}"
n1001523911,"{""en"": ""Barykovka"", ""ru"": ""Барыковка""}"
n10021976,"{""cs"": ""Leicester"", ""de"": ""Leicester"", ""en"": ""Leicester"", ""es"": ""Leicester"", ""fr"": ""Leicester"", ""pl"": ""Leicester"", ""ru"": ""Лейстер"", ""tr"": ""Leicester"", ""es_AR"": ""Leicester""}"
n1002261921,"{""en"": ""Bad Hersfeld"", ""ru"": ""Бад-Херсфельд""}"
n1003854473,"{""en"": ""Chervlennye Buruny"", ""ru"": ""Червлённые Буруны""}"
n1006266644,"{""en"": ""Shablykino"", ""ru"": ""Шаблыкино""}"
n1006718396,"{""en"": ""Gavrilov Posad"", ""ru"": ""Гаврилов Посад""}"
n100777714,"{""en"": ""Develi"", ""ru"": ""Девели""}"
n100842493,"{""en"": ""Yass"", ""ja"": ""ヤス"", ""th"": ""ยาส"", ""vi"": ""Yass"", ""zh_TW"": ""雅斯""}"
n100890898,"{""cs"": ""Nis"", ""de"": ""Nis"", ""en"": ""Nis"", ""es"": ""Nis"", ""fr"": ""Niš"", ""pl"": ""Nis"", ""ru"": ""Ниш"", ""tr"": ""Nis"", ""es_AR"": ""Nis""}"
n1009135181,"{""cs"": ""Vyborg"", ""de"": ""Vyborg"", ""en"": ""Vyborg"", ""es"": ""Vyborg"", ""fr"": ""Vyborg"", ""pl"": ""Wyborg"", ""ru"": ""Выборг"", ""tr"": ""Vyborg"", ""es_AR"": ""Vyborg""}"
n1010179630,"{""en"": ""Leninsk"", ""ru"": ""Ленинск""}"
n1012320215,"{""ru"": ""Тадоцу""}"
n1012857358,"{""cs"": ""Sergeyevsky"", ""de"": ""Sergeyevsky"", ""en"": ""Sergeyevsky"", ""es"": ""Sergeyevsky"", ""fr"": ""Sergeyevsky"", ""pl"": ""Sergiejewskij"", ""ru"": ""Сергеевский"", ""tr"": ""Sergeyevsky"", ""es_AR"": ""Sergeyevsky""}"
n1013496188,"{""en"": ""Burenino"", ""ru"": ""Буренино""}"
n1013517210,"{""cs"": ""Tashla"", ""de"": ""Tashla"", ""en"": ""Tashla"", ""es"": ""Tashla"", ""fr"": ""Tashla"", ""pl"": ""Taszła"", ""ru"": ""Ташла"", ""tr"": ""Tashla"", ""es_AR"": ""Tashla""}"
n1013522401,"{""en"": ""Krinitsy"", ""ru"": ""Криницы""}"
n1013645944,"{""cs"": ""Howtat Bani Tamim"", ""de"": ""Howtat Bani Tamim"", ""en"": ""Howtat Bani Tamim"", ""es"": ""Howtat Bani Tamim"", ""fr"": ""Hotat Bani Tamim"", ""ja"": ""ホウタ・バニー・タニム"", ""ko"": ""호우타트바니타밈"", ""pl"": ""Hutat Bani Tamim"", ""ru"": ""Хотат-Бани-Тамим"", ""th"": ""ฮาวทัต บานิ ทามิม"", ""tr"": ""Howtat Bani Tamim"", ""vi"": ""Howtat Bani Tamim"", ""es_AR"": ""Howtat Bani Tamim"", ""zh_TW"": ""好塔特巴尼塔米姆""}"
